id,nome,data,tasso
MII179364,Parma,2024-10-06,113.5566
MII182910,Pavia,2024-10-06,133.2685
MII179781,Perugia,2024-10-06,148.5531
MII179818,Pesaro,2024-10-06,168.4211
MII179830,Pescara,2024-10-06,168.0147
MII179842,Piacenza,2024-10-06,121.6216
MII179856,Piazza Armerina,2024-10-06,156.2500
MII182919,Pisa,2024-10-06,157.7778
MII179896,Pistoia,2024-10-06,96.0526
MII179913,Pordenone,2024-10-06,143.2432
MII179932,Porto Azzurro,2024-10-06,96.8847
MII179938,Potenza,2024-10-06,184.6154
MII179958,Prato,2024-10-06,101.1945
MII179965,Ragusa,2024-10-06,116.9399
MII179981,Ravenna,2024-10-06,165.3061
MII179988,Reggio Calabria Arghillà,2024-10-06,108.5034
MII179995,Reggio Calabria Giuseppe Panzera,2024-10-06,119.1860
MII182339,Reggio Emilia,2024-10-06,121.8884
MII169535,Rieti,2024-10-06,188.1919
MII180001,Rimini,2024-10-06,131.3559
MII180380,Roma Rebibbia,2024-10-06,98.3108
MII180348,Roma Rebibbia femminile,2024-10-06,139.6226
MII180356,Roma Rebibbia IIIª casa,2024-10-06,63.6364
MII180370,Roma Rebibbia Nuovo Complesso,2024-10-06,149.1012
MII180401,Roma Regina Coeli,2024-10-06,188.3387
MII180415,Rossano,2024-10-06,123.3716
MII180424,Rovigo,2024-10-06,117.2414
MII180426,Salerno,2024-10-06,159.3085
MII180437,Saluzzo,2024-10-06,81.1321
MII180451,San Cataldo,2024-10-06,65.6716
MII180458,San Gimignano,2024-10-06,141.7040
MII180476,San Severo,2024-10-06,129.5082
MII180465,Sanremo,2024-10-06,116.6667
MII181079,Sant'Angelo dei Lombardi,2024-10-06,147.8632
MII180487,Santa Maria Capua Vetere,2024-10-06,146.4646
MII181091,Sassari,2024-10-06,113.4658
MII181109,Sciacca,2024-10-06,105.0000
MII181115,Siena,2024-10-06,122.4138
MII181125,Siracusa,2024-10-06,123.8532
MII181346,Sondrio,2024-10-06,142.3077
MII181358,Spoleto,2024-10-06,102.2222
MII181371,Sulmona,2024-10-06,137.7778
MII181377,Taranto,2024-10-06,197.1014
MII181385,Tempio Pausania,2024-10-06,102.3529
MII181392,Teramo,2024-10-06,138.9764
MII181401,Termini Imerese,2024-10-06,110.5263
MII181407,Terni,2024-10-06,133.8863
MII181417,Tolmezzo,2024-10-06,95.3020
MII181424,Torino,2024-10-06,132.7555
MII181434,Trani,2024-10-06,128.9037
MII181440,Trani femminile,2024-10-06,115.6250
MII181625,Trapani,2024-10-06,106.4386
MII181636,Trento,2024-10-06,91.6067
MII181645,Treviso,2024-10-06,185.7143
