posti_aggiornati_al,posti_regolamentari,posti_non_disponibili,posti_occupati,personale_polizia_previsti,personale_polizia_effettivi,personale_amministrativi_previsti,personale_amministrativi_effettivi,posti_reali,indice_sovraffollamento
2024-10-05,51196,4384,61880,34035,31433,4049,3388,46812,1.32
2024-10-06,51196,4384,61912,34035,31433,4049,3388,46812,1.32
