id,nome,indirizzo,tipo,posti_regolamentari,posti_non_disponibili,posti_reali,tasso_affollamento,posti_occupati,posti_aggiornati_al,personale_polizia_previsti,personale_polizia_effettivi,personale_polizia_aggiornato_a,personale_amministrativi_previsti,personale_amministrativi_effettivi,personale_amministrativo_aggiornato_al,latitudine,longitude
MII178672,Napoli Secondigliano,Via Roma verso Scampia n.350 - 80144 Napoli,Casa circondariale - Pasquale Mandato,1142,13,1129,1.31,1477,2024-10-05,951,1099,2024-07-31,56,63,2024-07-31,40.9104776,14.24587204
MII178681,Noto,Via Garibaldi n.8 - 96017 Noto,Casa di reclusione - Attilio Bonincontro,176,0,176,0.85,149,2024-10-05,89,72,2024-07-31,19,22,2024-07-31,36.89341275,15.07208372
MII178700,Novara,Via Sforzesca n.49 - 28100 Novara,Casa circondariale,156,0,156,1.12,175,2024-10-05,166,151,2024-07-31,16,11,2024-07-31,45.4353796,8.63788811
MII179224,Nuoro,Via Badu e Carros n.1 - 08100 Nuoro,Casa circondariale,378,110,268,0.69,185,2024-10-05,191,160,2024-07-31,22,18,2024-07-31,40.31421085,9.30414976
MII179237,Opera,Via Camporgnago n.40 - 20090 Milano,Casa di reclusione - Iª casa,918,17,901,1.45,1302,2024-10-05,628,529,2024-07-31,52,43,2024-07-31,45.373069,9.211149
MII179274,Oristano,Loc. Su Pedriaxiu Massama n. snc - 09170 Oristano,Casa di reclusione - Salvatore Soro,264,0,264,0.93,245,2024-10-05,188,158,2024-07-31,22,17,2024-07-31,39.94078795,8.61201176
MII179280,Orvieto,Via Roma n.1 - 05018 Orvieto,Casa di reclusione,98,0,98,1.22,120,2024-10-05,57,57,2024-07-31,21,23,2024-07-31,42.72110485,12.11506423
MII179290,Padova,Via Due Palazzi n.25/A - 35136 Padova,Casa circondariale,188,4,184,1.17,215,2024-10-05,142,133,2024-07-31,19,17,2024-07-31,45.4451533,11.84137093
MII179299,Padova Nuovo Complesso,Via Due Palazzi n.35 - 35135 Padova,Casa di reclusione,438,63,375,1.48,555,2024-10-05,336,316,2024-07-31,30,27,2024-07-31,45.4436499,11.84528382
MII179306,Palermo Pagliarelli,Piazza Pietro Cerulli n.1 - 90129 Palermo,Casa circondariale - Antonio Lorusso,1165,9,1156,1.19,1378,2024-10-05,581,661,2024-07-31,51,45,2024-07-31,38.09077025,13.33932043
MII179324,Palermo Ucciardone,Via Enrico Albanese n.3 - 90139 Palermo,Casa di reclusione - Calogero Di Bona,569,79,490,1.07,523,2024-10-05,341,275,2024-07-31,39,33,2024-07-31,38.13289445,13.35769614
MII179331,Paliano,Viale Garibaldi n.6 - 03018 Paliano,Casa di reclusione,153,1,152,0.43,65,2024-10-05,66,58,2024-07-31,14,17,2024-07-31,41.8060233,13.0580683
MII179342,Palmi,Via Trodio n.1 - 89015 Palmi,Casa circondariale - Filippo Salsone,141,0,141,1.18,167,2024-10-05,131,107,2024-07-31,18,12,2024-07-31,38.3673254,15.8589302
MII179353,Paola,Via Paolino Maria Quattrone n.1 - 87027 Paola,Casa circondariale,181,27,154,1.2,185,2024-10-05,112,102,2024-07-31,19,15,2024-07-31,39.359893,16.039588
MII179364,Parma,Strada Burla n.57 - 43122 Parma,Casa di reclusione,655,28,627,1.14,712,2024-10-05,423,389,2024-07-31,0,1,2024-07-31,44.8167494,10.36522212
MII179733,Voghera,Via Prati Nuovi n.7 - 27058 Voghera,Casa circondariale - Nuovo Complesso,341,0,341,1.04,354,2024-10-05,231,228,2024-07-31,21,10,2024-07-31,44.9978954,8.9925217
MII179781,Perugia,Strada Pievaiola n.252 - 06132 Perugia,Casa circondariale - Nuovo complesso penitenziario Capanne,363,52,311,1.49,462,2024-10-05,234,197,2024-07-31,27,22,2024-07-31,43.05317525,12.26260324
MII179818,Pesaro,Strada Fontesecco n.88 - 61122 Pesaro,Casa circondariale,153,1,152,1.68,256,2024-10-05,154,146,2024-07-31,18,16,2024-07-31,43.8735952,12.85524221
MII179830,Pescara,Via San Donato n.2-  65129 Pescara,Casa circondariale,276,4,272,1.68,457,2024-10-05,166,126,2024-07-31,22,28,2024-07-31,42.4506322,14.215016
MII179842,Piacenza,Via delle Novate n.65 - 29122 Piacenza,Casa circondariale - San Lazzaro,416,9,407,1.21,494,2024-10-05,215,255,2024-07-31,26,19,2024-07-31,45.0534751,9.6947461
MII179856,Piazza Armerina,Via Fabrizio De Andr&eacute; n.1 - 94015 Piazza Armerina,Casa circondariale,49,1,48,1.56,75,2024-10-05,45,42,2024-07-31,12,9,2024-07-31,37.385946,14.367174
MII179876,Volterra,Rampa di Castello n.4 -  56048 Volterra,Casa di reclusione,189,0,189,0.96,181,2024-10-05,82,70,2024-07-31,19,17,2024-07-31,43.400337,10.860019
MII179896,Pistoia,Via dei Macelli n.13 - 51100 Pistoia,Casa circondariale,76,0,76,0.96,73,2024-10-05,65,54,2024-07-31,14,13,2024-07-31,43.93904125,10.91550517
MII179913,Pordenone,Piazza della Motta n.10 - 33170 Pordenone,Casa circondariale,37,0,37,1.43,53,2024-10-05,53,42,2024-07-31,13,10,2024-07-31,45.9561032,12.66265692
MII179932,Porto Azzurro,Forte San Giacomo n.1 57036 - Porto Azzurro,Casa di reclusione - Pasquale De Santis,334,13,321,0.97,311,2024-10-05,205,160,2024-07-31,26,23,2024-07-31,42.7655212,10.40289057
MII179938,Potenza,Via Appia n.175 - 85100 Potenza,Casa circondariale - Antonio Santoro,110,58,52,1.85,96,2024-10-05,111,105,2024-07-31,17,17,2024-07-31,40.6413675,15.824158
MII179945,Pozzuoli,Via Pergolesi n.140 - 80078 Pozzuoli,Casa circondariale femminile,98,98,0,,0,2024-10-05,119,21,2024-07-31,21,5,2024-07-31,40.82861375,14.1210843
MII179958,Prato,Via La Montagnola n.76 - 50900 Prato,Casa circondariale,589,3,586,1.01,593,2024-10-05,270,251,2024-07-31,35,27,2024-07-31,43.9034549,11.0644075
MII179965,Ragusa,Via G. di Vittorio n.26 - 97100 Ragusa,Casa circondariale,196,13,183,1.17,214,2024-10-05,84,72,2024-07-31,18,18,2024-07-31,36.9145799,14.72372512
MII179981,Ravenna,Via Port'Aurea n.57 - 48121 Ravenna,Casa circondariale,49,0,49,1.63,80,2024-10-05,74,69,2024-07-31,14,17,2024-07-31,44.41458045,12.19213791
MII179988,Reggio Calabria Arghillà,Contrada Rugola n. snc - 89135 Reggio Calabria,Casa circondariale,294,0,294,1.09,319,2024-10-05,164,131,2024-07-31,32,12,2024-07-31,38.1929515,15.681926617
MII179995,Reggio Calabria Giuseppe Panzera,Via Carcere Nuovo n.15 89129 - Reggio Calabria,Casa circondariale,180,8,172,1.19,205,2024-10-05,145,151,2024-07-31,0,24,2024-07-31,38.1035389,15.6397556
MII180001,Rimini,Via Santa Cristina n.19 - 47900 Rimini,Casa circondariale,118,0,118,1.31,155,2024-10-05,127,109,2024-07-31,17,14,2024-07-31,44.0593886,12.5684371
MII180348,Roma Rebibbia femminile,Via Bartolo Longo n.92 - 00156 Roma,Casa circondariale - Germana Stefanini,272,7,265,1.4,370,2024-10-05,214,203,2024-07-31,26,24,2024-07-31,41.93451235,12.57406556
MII180356,Roma Rebibbia IIIª casa,Via Bartolo Longo n.82 - 00156 Roma,Casa circondariale,172,40,132,0.64,84,2024-10-05,46,31,2024-07-31,15,15,2024-07-31,41.93451235,12.57406556
MII180370,Roma Rebibbia Nuovo Complesso,Via Raffaele Majetti n.70 - 00156 Roma,Casa circondariale - Raffaele Cinotti,1170,113,1057,1.49,1577,2024-10-05,782,673,2024-07-31,58,64,2024-07-31,41.93451235,12.57406556
MII180380,Roma Rebibbia,Via Bartolo Longo n.72 - 00156 Roma,Casa di reclusione,445,149,296,0.98,291,2024-10-05,189,134,2024-07-31,29,23,2024-07-31,41.93451235,12.57406556
MII180401,Roma Regina Coeli,Via della Lungara n.29 - 00165 Roma,Casa circondariale,628,2,626,1.88,1175,2024-10-05,480,331,2024-07-31,48,34,2024-07-31,41.8952204,12.46386051
MII180415,Rossano,Contrada Ciminata n. snc - 87067 Rossano,Casa di reclusione - Nuovo Complesso,263,2,261,1.23,322,2024-10-05,139,119,2024-07-31,23,21,2024-07-31,39.5746821,16.6348647
MII180424,Rovigo,Strada regionale 443 Dir. n.2 - 45100 Rovigo,Casa circondariale,211,8,203,1.17,238,2024-10-05,175,128,2024-07-31,19,13,2024-07-31,45.0843329,11.81300853
MII180426,Salerno,Via del Tonnazzo n.1 - 84100 Salerno,Casa circondariale - Antonio Caputo,376,0,376,1.59,599,2024-10-05,209,230,2024-07-31,31,30,2024-07-31,40.6521175,14.85032945
MII180437,Saluzzo,Regione Bronda n.19/B - 12037 Saluzzo,Casa di reclusione - Rodolfo Morandi,424,0,424,0.81,344,2024-10-05,206,195,2024-07-31,24,14,2024-07-31,44.6446052,7.4926009
MII180451,San Cataldo,Piazza Marconi n.1 - 93017 San Cataldo,Casa di reclusione,135,1,134,0.66,88,2024-10-05,59,63,2024-07-31,14,17,2024-07-31,37.488445,13.993065
MII180458,San Gimignano,Loc. Ciuciano Ranza n.20 - 53037 San Gimignano,Casa di reclusione,243,20,223,1.41,315,2024-10-05,205,194,2024-07-31,21,12,2024-07-31,43.4263361,11.02355054
MII180465,Sanremo,Strada Armea n.144/a - 18038 Sanremo,Casa di reclusione - Nuovo Complesso,223,1,222,1.17,259,2024-10-05,185,188,2024-07-31,19,12,2024-07-31,43.8198253,7.7748827
MII180476,San Severo,Via Emilio Dotoli n.1 - 71016 San Severo,Casa circondariale,61,0,61,1.3,79,2024-10-05,60,44,2024-07-31,10,8,2024-07-31,41.6893215,15.3708272
MII180487,Santa Maria Capua Vetere,Strada Statale Appia 7 bis Km. 6+500 n. snc - 81055 Santa Maria Capua Vetere,Casa circondariale - Francesco Uccella,818,125,693,1.46,1015,2024-10-05,460,466,2024-07-31,42,45,2024-07-31,41.04325675,14.23503914
MII181079,Sant'Angelo dei Lombardi,C. da Selvatico n. SNC - 83054 Sant'Angelo dei Lombardi,"Casa di reclusione - Famiglietti, Forgetta, Bartolo",124,7,117,1.48,173,2024-10-05,86,95,2024-07-31,18,12,2024-07-31,40.9101396,15.1892849
MII181091,Sassari,Localit&agrave; Bancali - Strada Provinciale 56 n.4 - 07100 Sassari,Casa circondariale - Giovanni Bacchiddu,454,1,453,1.13,513,2024-10-05,342,295,2024-07-31,32,25,2024-07-31,40.72020106,8.55148315
MII181109,Sciacca,Via Pietro Gerardi n.12 - 92019 Sciacca,Casa circondariale,73,53,20,1.05,21,2024-10-05,44,47,2024-07-31,13,12,2024-07-31,37.5064786,13.0823323
MII181115,Siena,Piazza Santo Spirito n.3 - 53100 Siena,Casa circondariale,58,0,58,1.22,71,2024-10-05,41,42,2024-07-31,13,9,2024-07-31,43.31814595,11.33794054
MII181125,Siracusa,Via Monasteri n.20 - 96100  Siracusa,Casa circondariale,545,0,545,1.24,674,2024-10-05,234,227,2024-07-31,27,21,2024-07-31,37.03487355,15.16261221
MII181346,Sondrio,Via Antonio Caimi n.80 - 23100 Sondrio,Casa circondariale,26,0,26,1.42,37,2024-10-05,27,28,2024-07-31,11,2,2024-07-31,46.32336235,10.25841367
MII181358,Spoleto,Localit&agrave; Maiano n.10 - 06049 Spoleto,Casa di reclusione,456,6,450,1.02,460,2024-10-05,273,246,2024-07-31,31,30,2024-07-31,42.78113085,12.72710874
MII181371,Sulmona,Via Lamaccio n. snc - 67039 Sulmona,Casa di reclusione,323,8,315,1.38,434,2024-10-05,255,225,2024-07-31,30,23,2024-07-31,42.0685398,13.9279741
MII181377,Taranto,Via Carmelo Magli n.1 - 74100 Taranto,Casa circondariale - Carmelo Magli,500,17,483,1.97,952,2024-10-05,297,309,2024-07-31,31,25,2024-07-31,40.45574895,17.29388354
