id istituto,nome istituto,tasso di affollamento,indirizzo,tipo istituto,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,dati aggiornati al,polizia penitenziaria - previsti,polizia penitenziaria - effettivi,personale polizia penitenziaria aggiornato al,amministrativi - effettivi,amministrativi - previsti,personale amministrativo aggiornato al,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,data di aggiornamento spazi detentivi,latitudine,longitude,scheda istituto,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers
MII173265,Castrovillari,139.0,Via Sergio Cosmai n 1 - 87012 Castrovillari,Casa circondariale - Rosa Sisca,122,0,122,169,2025-03-08,113,103,2025-12-31,12,15,2025-12-31,120.0,0.0,2.0,20.0,0.0,120.0,120.0,1.0,2025-03-08,39.83602485,16.2210616,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173265"">Vai alla scheda istituto</a>",120.0,1.41,0.61,84.5,8.45,1.41,1.41,169.0
MII173285,Catania Bicocca,153.0,Tangenziale Ovest km 8 n. s.n.c. - 95030 Catania,Casa circondariale,136,5,131,200,2025-03-08,160,186,2025-12-31,18,19,2025-12-31,127.0,5.0,123.0,0.0,0.0,127.0,0.0,0.0,2025-03-08,37.50570535,14.94420233,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173285"">Vai alla scheda istituto</a>",122.0,1.64,0.93,1.63,,1.57,,
MII173301,Catania Piazza Lanza,159.0,Piazza Vincenzo Lanza n.11 - 95100 Catania,Casa circondariale,279,4,275,438,2025-03-08,268,247,2025-12-31,24,25,2025-12-31,106.0,1.0,94.0,35.0,2.0,106.0,51.0,106.0,2025-03-08,37.50570535,14.94420233,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173301"">Vai alla scheda istituto</a>",105.0,4.17,0.56,4.66,12.51,4.13,8.59,4.13
MII173311,Catanzaro,101.0,Via Tre Fontane n.28 - 88100 Catanzaro,Casa circondariale - Ugo Caridi,682,42,640,649,2025-03-08,415,376,2025-12-31,31,38,2025-12-31,392.0,16.0,208.0,23.0,22.0,391.0,208.0,392.0,2025-03-08,38.9076353,16.5960465,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173311"">Vai alla scheda istituto</a>",376.0,1.73,0.58,3.12,28.22,1.66,3.12,1.66
MII173324,Crotone,124.0,Localit&agrave; Passovecchio n.1 - 88900 Crotone,Casa circondariale,99,6,93,115,2025-03-08,75,67,2025-12-31,11,18,2025-12-31,33.0,2.0,33.0,0.0,2.0,33.0,33.0,33.0,2025-03-08,39.0806223,17.127196,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173324"">Vai alla scheda istituto</a>",31.0,3.71,0.58,3.48,,3.48,3.48,3.48
MII173341,Cosenza,116.0,Viale Giacomo Mancini n.320 - 87100 Cosenza,Casa circondariale - Sergio Cosmai,220,3,217,251,2025-03-08,154,136,2025-12-31,21,20,2025-12-31,93.0,2.0,92.0,84.0,2.0,93.0,93.0,93.0,2025-03-08,39.3099931,16.2501929,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173341"">Vai alla scheda istituto</a>",91.0,2.76,0.54,2.73,2.99,2.7,2.7,2.7
MII173356,Chiavari,125.0,Via al Gasometro n.2 - 16043 Chiavari,Casa di reclusione,52,0,52,65,2025-03-08,48,47,2025-12-31,11,13,2025-12-31,23.0,0.0,22.0,3.0,1.0,23.0,23.0,23.0,2025-03-08,44.3164494,9.3233382,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173356"">Vai alla scheda istituto</a>",23.0,2.83,0.72,2.95,21.67,2.83,2.83,2.83
MII173364,Chieti,182.0,Via Ettore Ianni n.30 - 66100 Chieti,Casa circondariale,79,0,79,144,2025-03-08,80,87,2025-12-31,15,15,2025-12-31,33.0,0.0,33.0,7.0,1.0,33.0,32.0,4.0,2025-03-08,42.3446529,14.1659738,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173364"">Vai alla scheda istituto</a>",33.0,4.36,0.6,4.36,20.57,4.36,4.5,36.0
MII173688,Civitavecchia Giuseppe Passerini,99.0,Via Tarquinia n. 20 - 00053 Civitavecchia,Casa di reclusione,144,52,92,91,2025-03-08,53,42,2025-12-31,7,0,2025-12-31,60.0,16.0,40.0,50.0,0.0,60.0,60.0,60.0,2025-03-08,42.0989856,11.78675481,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173688"">Vai alla scheda istituto</a>",44.0,2.07,0.46,2.28,1.82,1.52,1.52,1.52
MII173712,Como,192.0,Via Bassone n.11 - 22100 Como,Casa circondariale,226,1,225,432,2025-03-08,216,186,2025-12-31,15,23,2025-12-31,200.0,1.0,55.0,177.0,0.0,200.0,4.0,4.0,2025-03-08,45.9394759,9.14941015,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173712"">Vai alla scheda istituto</a>",199.0,2.17,0.43,7.85,2.44,2.16,108.0,108.0
MII173747,Cremona,142.0,Via Palosca n.2 - 26100 Cremona,Casa circondariale,394,10,384,547,2025-03-08,202,168,2025-12-31,18,23,2025-12-31,252.0,10.0,68.0,216.0,4.0,252.0,77.0,77.0,2025-03-08,45.1334796,10.0248716,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173747"">Vai alla scheda istituto</a>",242.0,2.26,0.31,8.04,2.53,2.17,7.1,7.1
MII173764,Cuneo,101.0,Via Roncata n.75 - 12100 Cuneo,Casa circondariale,433,52,381,386,2025-03-08,206,168,2025-12-31,13,22,2025-12-31,218.0,48.0,191.0,1.0,6.0,218.0,193.0,193.0,2025-03-08,44.64319015,7.43645384,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173764"">Vai alla scheda istituto</a>",170.0,2.27,0.44,2.02,386.0,1.77,2.0,2.0
MII173784,Eboli,96.0,Via Castello n.10 - 84025 Eboli,Casa di reclusione,54,0,54,52,2025-03-08,24,27,2025-12-31,13,14,2025-12-31,9.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,2025-03-08,40.6175146,15.0569438,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173784"">Vai alla scheda istituto</a>",9.0,5.78,0.52,5.78,5.78,5.78,,
MII173813,Enna,129.0,Via Palermo n.20 - 94100 Enna,Casa circondariale - Luigi Bodenza,167,11,156,201,2025-03-08,97,105,2025-12-31,15,18,2025-12-31,79.0,2.0,39.0,0.0,2.0,79.0,78.0,78.0,2025-03-08,37.5667573,14.2807473,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173813"">Vai alla scheda istituto</a>",77.0,2.61,0.52,5.15,,2.54,2.58,2.58
MII173994,Favignana,98.0,Via Aurelio Padovani n.1 - 91023 Favignana,Casa di reclusione - Giuseppe Barraco,89,0,89,87,2025-03-08,79,51,2025-12-31,11,14,2025-12-31,33.0,0.0,33.0,0.0,2.0,33.0,33.0,33.0,2025-03-08,37.9314505,12.3273647,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173994"">Vai alla scheda istituto</a>",33.0,2.64,0.59,2.64,,2.64,2.64,2.64
MII174501,Fermo,123.0,Viale XX Giugno n.1/3 - 63900 Fermo,Casa di reclusione,43,0,43,53,2025-03-08,50,46,2025-12-31,11,15,2025-12-31,22.0,0.0,0.0,22.0,0.0,11.0,0.0,0.0,2025-03-08,43.0922489,13.63876807,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII174501"">Vai alla scheda istituto</a>",22.0,2.41,0.87,,2.41,4.82,,
MII174686,Ferrara,160.0,Via Arginone n.327 - 44122 Ferrara,Casa circondariale - Costantino Satta,244,0,244,391,2025-03-08,194,168,2025-12-31,13,19,2025-12-31,234.0,0.0,37.0,197.0,0.0,234.0,234.0,234.0,2025-03-08,44.8423466,11.5822881,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII174686"">Vai alla scheda istituto</a>",234.0,1.67,0.43,10.57,1.98,1.67,1.67,1.67
MII174720,Firenze Sollicciano,148.0,Via Girolamo Minervini n 2/R  - 50142 Firenze,Casa circondariale,497,136,361,534,2025-03-08,416,416,2025-12-31,27,34,2025-12-31,358.0,102.0,62.0,29.0,0.0,358.0,345.0,351.0,2025-03-08,43.76945125,11.17403045,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII174720"">Vai alla scheda istituto</a>",256.0,2.09,0.78,8.61,18.41,1.49,1.55,1.52
MII174825,Firenze Mario Gozzini,136.0,Via Girolamo Minervini n.5 - 50142 Firenze,Casa circondariale,91,14,77,105,2025-03-08,50,46,2025-12-31,14,16,2025-12-31,51.0,8.0,0.0,0.0,0.0,51.0,9.0,0.0,2025-03-08,43.7698712,11.2555757,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII174825"">Vai alla scheda istituto</a>",43.0,2.44,0.44,,,2.06,11.67,
MII176375,Foggia,208.0,Via delle Casermette n.22 - 71100 Foggia,Casa circondariale,364,53,311,646,2025-03-08,244,230,2025-12-31,31,29,2025-12-31,213.0,27.0,71.0,13.0,1.0,198.0,7.0,211.0,2025-03-08,41.50281055,15.45289961,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176375"">Vai alla scheda istituto</a>",186.0,3.47,0.36,9.1,49.69,3.26,92.29,3.06
MII176403,Forlì,114.0,Via della Rocca n.4/6 - 47121 Forl&igrave;,Casa circondariale,144,12,132,151,2025-03-08,120,97,2025-12-31,15,18,2025-12-31,123.0,8.0,0.0,44.0,0.0,123.0,113.0,123.0,2025-03-08,44.2226017,12.0409384,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176403"">Vai alla scheda istituto</a>",115.0,1.31,0.64,,3.43,1.23,1.34,1.23
MII176414,Fossano,84.0,Via S.Giovanni Bosco n.48 - 12045 Fossano,Casa di reclusione,136,0,136,114,2025-03-08,72,61,2025-12-31,0,0,,48.0,0.0,38.0,3.0,1.0,48.0,13.0,10.0,2025-03-08,44.5493489,7.7250155,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176414"">Vai alla scheda istituto</a>",48.0,2.38,0.54,3.0,38.0,2.38,8.77,11.4
MII176424,Fossombrone,89.0,Viale Leopardi n.2 - 61034 Fossombrone,Casa di reclusione,182,81,101,90,2025-03-08,129,95,2025-12-31,17,19,2025-12-31,123.0,81.0,42.0,0.0,1.0,33.0,34.0,122.0,2025-03-08,43.68773585,12.8229332,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176424"">Vai alla scheda istituto</a>",42.0,2.14,1.06,2.14,,2.73,2.65,0.74
MII176437,Frosinone,116.0,Via Cerreto n.55 - 03100  Frosinone,Casa circondariale - Giuseppe Pagliei,517,28,489,567,2025-03-08,280,238,2025-12-31,24,30,2025-12-31,334.0,26.0,84.0,330.0,4.0,334.0,334.0,70.0,2025-03-08,41.6419807,13.3469287,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176437"">Vai alla scheda istituto</a>",308.0,1.84,0.42,6.75,1.72,1.7,1.7,8.1
MII176451,Gela,175.0,C.da Balate SS 117 bis n. snc - 93012 Gela,Casa circondariale,48,0,48,84,2025-03-08,46,53,2025-12-31,9,11,2025-12-31,48.0,0.0,48.0,48.0,0.0,48.0,1.0,46.0,2025-03-08,37.0664363,14.2502445,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176451"">Vai alla scheda istituto</a>",48.0,1.75,0.63,1.75,1.75,1.75,84.0,1.83
MII176703,Genova Pontedecimo,171.0,Via Coni Zugna n.32 - 16100 Genova,Casa circondariale,96,10,86,147,2025-03-08,143,129,2025-12-31,11,16,2025-12-31,96.0,10.0,96.0,96.0,2.0,96.0,96.0,53.0,2025-03-08,44.49411925,8.90540935,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176703"">Vai alla scheda istituto</a>",86.0,1.71,0.88,1.53,1.53,1.53,1.53,2.77
MII176714,Giarre,145.0,Via Foscolo n.67 - 95017 Giarre,Casa circondariale,58,7,51,74,2025-03-08,40,39,2025-12-31,11,12,2025-12-31,58.0,7.0,58.0,0.0,0.0,58.0,0.0,0.0,2025-03-08,37.726857,15.187688,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176714"">Vai alla scheda istituto</a>",51.0,1.45,0.53,1.28,,1.28,,
MII176719,Gorizia,151.0,Via G. Barzellini n 8 - 34170 Gorizia,Casa circondariale - Angiolo Bigazzi,53,0,53,80,2025-03-08,54,49,2025-12-31,5,12,2025-12-31,17.0,0.0,17.0,16.0,0.0,17.0,17.0,17.0,2025-03-08,45.9441278,13.6252288,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176719"">Vai alla scheda istituto</a>",17.0,4.71,0.61,4.71,5.0,4.71,4.71,4.71
MII176743,Grosseto,167.0,Via A Saffi n.23 - 58100 Grosseto,Casa circondariale,15,0,15,25,2025-03-08,30,35,2025-12-31,10,12,2025-12-31,9.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,2025-03-08,42.7597261,11.1137389,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176743"">Vai alla scheda istituto</a>",9.0,2.78,1.4,25.0,,2.78,25.0,25.0
MII176749,Imperia,117.0,Via Giacomo Agnesi n. 2 18100 Imperia,Casa circondariale,53,0,53,62,2025-03-08,58,52,2025-12-31,0,0,,41.0,0.0,41.0,3.0,1.0,41.0,41.0,41.0,2025-03-08,43.8862958,8.0267106,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176749"">Vai alla scheda istituto</a>",41.0,1.51,0.84,1.51,20.67,1.51,1.51,1.51
MII176759,Isernia,141.0,Via Ponte San Leonardo n.5 - 86170  Isernia,Casa circondariale,44,0,44,62,2025-03-08,36,46,2025-12-31,12,10,2025-12-31,24.0,0.0,4.0,24.0,0.0,24.0,24.0,24.0,2025-03-08,41.600216,14.238217,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176759"">Vai alla scheda istituto</a>",24.0,2.58,0.74,15.5,2.58,2.58,2.58,2.58
MII176771,Isili,65.0,Localit&agrave; Sarcidano n.SN - 08033 Isili,Casa di reclusione,130,23,107,70,2025-03-08,72,67,2025-12-31,14,20,2025-12-31,30.0,4.0,30.0,11.0,0.0,30.0,26.0,30.0,2025-03-08,39.7404048,9.1085903,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176771"">Vai alla scheda istituto</a>",26.0,2.69,0.96,2.33,6.36,2.33,2.69,2.33
MII176781,Ivrea,142.0,Corso Vercelli n.165 - 10015 Ivrea,Casa circondariale,195,9,186,264,2025-03-08,176,173,2025-12-31,13,20,2025-12-31,189.0,9.0,0.0,0.0,1.0,189.0,188.0,15.0,2025-03-08,45.4673791,7.874797,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176781"">Vai alla scheda istituto</a>",180.0,1.47,0.66,,,1.4,1.4,17.6
MII176788,La Spezia,128.0,Piazza Falcone e Borsellino n.1 - 19125 La Spezia,Casa circondariale,151,48,103,132,2025-03-08,133,113,2025-12-31,0,0,,92.0,48.0,92.0,6.0,0.0,92.0,92.0,92.0,2025-03-08,44.107033,9.8282255,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII176788"">Vai alla scheda istituto</a>",44.0,3.0,0.86,1.43,22.0,1.43,1.43,1.43
MII177107,Lanciano,118.0,C/da Villa Stanazzo n.212/A - 66034 Lanciano,Casa circondariale,223,0,223,264,2025-03-08,151,114,2025-12-31,15,18,2025-12-31,192.0,0.0,10.0,32.0,0.0,192.0,29.0,18.0,2025-03-08,42.2305316,14.3907794,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177107"">Vai alla scheda istituto</a>",192.0,1.38,0.43,26.4,8.25,1.38,9.1,14.67
MII177118,Lanusei,103.0,Viale Europa n.10 - 08045 Lanusei,Casa circondariale - San Daniele,33,0,33,34,2025-03-08,31,34,2025-12-31,5,9,2025-12-31,14.0,0.0,14.0,0.0,0.0,14.0,11.0,0.0,2025-03-08,39.8785705,9.5410772,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177118"">Vai alla scheda istituto</a>",14.0,2.43,1.0,2.43,,2.43,3.09,
MII177134,L'Aquila,78.0,Via Amiternina Localit&agrave; Costarelle di Preturo n.3 - 67100 L'Aquila,Casa circondariale,228,6,222,173,2025-03-08,157,137,2025-12-31,21,20,2025-12-31,216.0,2.0,12.0,43.0,0.0,216.0,12.0,6.0,2025-03-08,42.3489203,13.3979672,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177134"">Vai alla scheda istituto</a>",214.0,0.81,0.79,14.42,4.02,0.8,14.42,28.83
MII177323,Larino,140.0,Contrada Monte Arcano n.2 - 86035 Larino,Casa circondariale,119,10,109,153,2025-03-08,127,110,2025-12-31,14,16,2025-12-31,106.0,10.0,53.0,0.0,0.0,106.0,9.0,4.0,2025-03-08,41.8055672,14.9210984,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177323"">Vai alla scheda istituto</a>",96.0,1.59,0.72,2.89,,1.44,17.0,38.25
MII177332,Latina,177.0,Via Aspromonte n.100 - 04100 Latina,Casa circondariale,77,0,77,136,2025-03-08,125,118,2025-12-31,15,17,2025-12-31,65.0,0.0,65.0,32.0,0.0,65.0,53.0,0.0,2025-03-08,41.46083555,12.89935226,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177332"">Vai alla scheda istituto</a>",65.0,2.09,0.87,2.09,4.25,2.09,2.57,
MII177346,Laureana di Borrello,119.0,Viale Paolo Quattrone n.7 - 89023 Laureana di Borrello,Casa di reclusione - Luigi Daga,37,0,37,44,2025-03-08,37,32,2025-12-31,9,13,2025-12-31,37.0,0.0,37.0,37.0,0.0,37.0,37.0,37.0,2025-03-08,38.492577,16.082098,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177346"">Vai alla scheda istituto</a>",37.0,1.19,0.73,1.19,1.19,1.19,1.19,1.19
MII177384,Lauro,0.0,Strada Provinciale Bosagro n. snc - 83023 Lauro,Istituto custodia attenuata per madri,50,0,50,0,2025-03-08,0,0,,5,0,2025-12-31,20.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,2025-03-08,40.8799681,14.629467,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177384"">Vai alla scheda istituto</a>",20.0,0.0,,0.0,0.0,0.0,0.0,0.0
MII177420,Lecce,169.0,Via Paolo Perrone n.4 - 73100 Lecce,Casa circondariale - Nuovo Complesso,798,51,747,1260,2025-03-08,572,581,2025-12-31,46,44,2025-12-31,654.0,51.0,81.0,654.0,8.0,654.0,654.0,653.0,2025-03-08,40.3767969,18.156339,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177420"">Vai alla scheda istituto</a>",603.0,2.09,0.46,15.56,1.93,1.93,1.93,1.93
MII177436,Lecco,162.0,Via Cesare Beccaria n.9 - 23900 Lecco,Casa circondariale,53,0,53,86,2025-03-08,38,40,2025-12-31,5,14,2025-12-31,40.0,0.0,40.0,0.0,0.0,40.0,40.0,40.0,2025-03-08,45.8553764,9.389605,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177436"">Vai alla scheda istituto</a>",40.0,2.15,0.47,2.15,,2.15,2.15,2.15
MII177463,Livorno,141.0,Via delle Macchie n.9 - 57124 Livorno,Casa circondariale,391,212,179,252,2025-03-08,268,244,2025-12-31,22,35,2025-12-31,296.0,180.0,78.0,83.0,4.0,230.0,230.0,43.0,2025-03-08,43.5507411,10.3091456,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177463"">Vai alla scheda istituto</a>",116.0,2.17,0.97,3.23,3.04,1.1,1.1,5.86
MII177498,Livorno Gorgona,94.0,Gorgona Via Torre Nuova n.1 -. 57030 Livorno,Casa di reclusione,89,0,89,84,2025-03-08,0,0,,6,0,2025-12-31,55.0,0.0,55.0,0.0,0.0,55.0,55.0,55.0,2025-03-08,43.42959665,9.89870751,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177498"">Vai alla scheda istituto</a>",55.0,1.53,0.0,1.53,,1.53,1.53,1.53
MII177996,Locri,135.0,Via Vittorio Veneto n.71 - 89044 Locri,Casa circondariale,86,0,86,116,2025-03-08,73,70,2025-12-31,12,15,2025-12-31,40.0,0.0,40.0,0.0,0.0,40.0,40.0,40.0,2025-03-08,38.2385368,16.2655092,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII177996"">Vai alla scheda istituto</a>",40.0,2.9,0.6,2.9,,2.9,2.9,2.9
MII178003,Onanì,72.0,Via Centrale n.3 - 08020 Onan&igrave; (Nuoro),Casa di reclusione - Onanì-Mamone,292,122,170,122,2025-03-08,119,94,2025-12-31,15,24,2025-12-31,64.0,23.0,57.0,2.0,0.0,64.0,57.0,57.0,2025-03-08,40.5725948,9.4205999,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178003"">Vai alla scheda istituto</a>",41.0,2.98,0.77,2.14,61.0,1.91,2.14,2.14
MII178027,Lodi,166.0,Via Cagnola n.2 - 26900 Lodi,Casa circondariale,45,1,44,73,2025-03-08,44,46,2025-12-31,11,13,2025-12-31,30.0,1.0,27.0,0.0,0.0,29.0,30.0,7.0,2025-03-08,45.3138959,9.503263,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178027"">Vai alla scheda istituto</a>",29.0,2.52,0.63,2.7,,2.52,2.43,10.43
MII178035,Lucca,195.0,Via San Giorgio n.108 - 55100 Lucca,Casa circondariale,63,25,38,74,2025-03-08,91,71,2025-12-31,13,14,2025-12-31,59.0,21.0,5.0,7.0,4.0,59.0,59.0,8.0,2025-03-08,43.84570065,10.49998221,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178035"">Vai alla scheda istituto</a>",38.0,1.95,0.96,14.8,10.57,1.25,1.25,9.25
MII178045,Lucera,121.0,Piazza Tribunali n.16 - 71036 Lucera,Casa circondariale,135,0,135,164,2025-03-08,91,75,2025-12-31,15,17,2025-12-31,81.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,2025-03-08,41.51140835,15.33357537,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178045"">Vai alla scheda istituto</a>",81.0,2.02,0.46,,,4.32,164.0,
MII178072,Mantova,142.0,Via C. Poma n.3 - 46100 Mantova,Casa circondariale,97,1,96,136,2025-03-08,72,68,2025-12-31,11,18,2025-12-31,56.0,1.0,5.0,4.0,0.0,56.0,4.0,56.0,2025-03-08,45.1566683,10.7917191,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178072"">Vai alla scheda istituto</a>",55.0,2.47,0.5,27.2,34.0,2.43,34.0,2.43
MII178085,Massa,145.0,Via Pietro Pellegrini n.17 - 54100 Massa,Casa di reclusione,174,4,170,246,2025-03-08,130,118,2025-12-31,0,0,,109.0,2.0,108.0,98.0,8.0,109.0,109.0,109.0,2025-03-08,44.0231028,10.1371655,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178085"">Vai alla scheda istituto</a>",107.0,2.3,0.48,2.28,2.51,2.26,2.26,2.26
MII178115,Massa Marittima,92.0,Viale Martiri della Niccioleta n.148 - 58024 Massa Marittima,Casa circondariale,48,0,48,44,2025-03-08,36,27,2025-12-31,9,14,2025-12-31,24.0,0.0,24.0,24.0,0.0,24.0,24.0,24.0,2025-03-08,43.0438048,10.9023227,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178115"">Vai alla scheda istituto</a>",24.0,1.83,0.61,1.83,1.83,1.83,1.83,1.83
MII178124,Matera,146.0,Via Cererie n.24 - 75100 Matera,Casa circondariale,132,7,125,183,2025-03-08,125,93,2025-12-31,16,15,2025-12-31,49.0,3.0,49.0,49.0,0.0,49.0,49.0,49.0,2025-03-08,40.676213,16.60599858,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178124"">Vai alla scheda istituto</a>",46.0,3.98,0.51,3.73,3.73,3.73,3.73,3.73
MII178141,Melfi,136.0,Via Lecce n. snc - 85025 Melfi,Casa circondariale,126,54,72,98,2025-03-08,151,131,2025-12-31,8,16,2025-12-31,122.0,54.0,14.0,109.0,0.0,122.0,122.0,1.0,2025-03-08,40.9961962,15.6556359,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178141"">Vai alla scheda istituto</a>",68.0,1.44,1.34,7.0,0.9,0.8,0.8,98.0
MII178148,Messina,100.0,Via Consolare Valeria n.2 - 98124 Messina,Casa circondariale,302,83,219,220,2025-03-08,185,223,2025-12-31,22,23,2025-12-31,134.0,49.0,134.0,75.0,21.0,134.0,134.0,134.0,2025-03-08,38.048433,15.00434682,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178148"">Vai alla scheda istituto</a>",85.0,2.59,1.01,1.64,2.93,1.64,1.64,1.64
MII178501,Milano San Vittore femminile,180.0,Piazza Filangieri n.2 - 20123 Milano,Casa circondariale - Francesco Di Cataldo,46,1,45,81,2025-03-08,0,0,,0,0,,40.0,1.0,3.0,2.0,0.0,40.0,40.0,40.0,2025-03-08,45.4615979,9.16639949,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII178501"">Vai alla scheda istituto</a>",39.0,2.08,0.0,27.0,40.5,2.02,2.02,2.02
