id istituto,nome istituto,tasso di affollamento,indirizzo,tipo istituto,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,dati aggiornati al,polizia penitenziaria - previsti,polizia penitenziaria - effettivi,personale polizia penitenziaria aggiornato al,amministrativi - effettivi,amministrativi - previsti,personale amministrativo aggiornato al,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,data di aggiornamento spazi detentivi,latitudine,longitude,scheda istituto,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers
MII159053,Ariano Irpino,135.0,Via Grignano n. 60 - 83031 Ariano Irpino,Casa circondariale - Pasquale Campanello,263,13,250,337,2025-03-08,165,138,2025-12-31,12,21,2025-12-31,133.0,8.0,121.0,64.0,4.0,133.0,81.0,125.0,2025-03-08,41.1280699,15.08169876,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII159053"">Vai alla scheda istituto</a>",125.0,2.7,0.41,2.79,5.27,2.53,4.16,2.7
MII159060,Arienzo,153.0,Via Nazionale Appia Km 230+600 n.7 - 81021 Arienzo,Casa di reclusione - Gennaro De Angelis,58,0,58,89,2025-03-08,43,47,2025-12-31,12,13,2025-12-31,53.0,0.0,53.0,53.0,0.0,53.0,53.0,53.0,2025-03-08,41.0242566,14.4970522,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII159060"">Vai alla scheda istituto</a>",53.0,1.68,0.53,1.68,1.68,1.68,1.68,1.68
MII159065,Ascoli Piceno,138.0,Via dei meli n.218 - 63100 Ascoli Piceno,Casa circondariale,103,2,101,139,2025-03-08,152,144,2025-12-31,17,16,2025-12-31,65.0,2.0,19.0,59.0,0.0,63.0,4.0,13.0,2025-03-08,42.8546185,13.5755038,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII159065"">Vai alla scheda istituto</a>",63.0,2.21,1.04,7.32,2.36,2.21,34.75,10.69
MII159069,Asti,125.0,Frazione Quarto Inferiore n. 266 14100 Asti,Casa di reclusione,205,6,199,249,2025-03-08,167,154,2025-12-31,0,0,,190.0,6.0,0.0,190.0,0.0,190.0,179.0,190.0,2025-03-08,44.900542,8.2068876,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII159069"">Vai alla scheda istituto</a>",184.0,1.35,0.62,,1.31,1.31,1.39,1.31
MII159314,Augusta,169.0,Contrada Piano Ippolito n.1 - 96011 Augusta,Casa di reclusione,364,23,341,575,2025-03-08,224,170,2025-12-31,25,29,2025-12-31,339.0,23.0,75.0,0.0,3.0,339.0,25.0,339.0,2025-03-08,37.2369363,15.2196575,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII159314"">Vai alla scheda istituto</a>",316.0,1.82,0.3,7.67,,1.7,23.0,1.7
MII160204,Benevento,150.0,Via Ermete Novelli n.11 -  82100 Benevento,Casa circondariale - Michele Gaglione,259,6,253,379,2025-03-08,217,227,2025-12-31,29,23,2025-12-31,230.0,4.0,230.0,0.0,0.0,230.0,1.0,230.0,2025-03-08,41.1295587,14.7824639,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII160204"">Vai alla scheda istituto</a>",226.0,1.68,0.6,1.65,,1.65,379.0,1.65
MII169535,Rieti,173.0,Via Maestri del lavoro n.2 - 02100 Rieti,Casa circondariale - Nuovo Complesso,295,6,289,500,2025-03-08,175,132,2025-12-31,22,23,2025-12-31,157.0,3.0,157.0,157.0,0.0,157.0,157.0,157.0,2025-03-08,42.4016906,12.8629993,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII169535"">Vai alla scheda istituto</a>",154.0,3.25,0.26,3.18,3.18,3.18,3.18,3.18
MII172011,Avellino,119.0,Frazione Bellizzi Irpino - Contrada Sant'Oronzo n.1 -  83100 Avellino,Casa circondariale - Antimo Graziano Bellizzi,500,37,463,553,2025-03-08,263,321,2025-12-31,28,35,2025-12-31,211.0,19.0,187.0,61.0,3.0,210.0,82.0,84.0,2025-03-08,40.9141958,14.7888764,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172011"">Vai alla scheda istituto</a>",192.0,2.88,0.58,2.96,9.07,2.63,6.74,6.58
MII172187,Aversa,117.0,Via San Francesco da Paola n.2 - 81031 Aversa,Casa di reclusione - Filippo Saporito,254,20,234,273,2025-03-08,105,120,2025-12-31,26,25,2025-12-31,90.0,6.0,82.0,65.0,3.0,90.0,41.0,28.0,2025-03-08,40.973212,14.204928,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172187"">Vai alla scheda istituto</a>",84.0,3.25,0.44,3.33,4.2,3.03,6.66,9.75
MII172208,Civitavecchia Nuovo Complesso,182.0,"Via Aurelia nord km 79,500 n. snc - 00053 Civitavecchia",Casa circondariale,357,46,311,565,2025-03-08,261,235,2025-12-31,23,35,2025-12-31,334.0,46.0,41.0,154.0,0.0,334.0,333.0,334.0,2025-03-08,42.0937524,11.7922462,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172208"">Vai alla scheda istituto</a>",288.0,1.96,0.42,13.78,3.67,1.69,1.7,1.69
