id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,posti_reali,tasso_occupazione
MII174825,Firenze Mario Gozzini,Casa circondariale,92,14,107,2024-08-03,78,1.37
MII179781,Perugia,Casa circondariale - Nuovo complesso penitenziario Capanne,363,41,463,2024-08-03,322,1.44
MII179932,Porto Azzurro,Casa di reclusione - Pasquale De Santis,334,13,314,2024-08-03,321,0.98
MII181407,Terni,Casa circondariale,422,0,561,2024-08-03,422,1.33
MII180465,Sanremo,Casa di reclusione - Nuovo Complesso,223,2,256,2024-08-03,221,1.16
MII158944,Ancona Barcaglione,Casa di reclusione,100,0,100,2024-08-03,100,1.0
MII158941,Ancona Montacuto,Casa circondariale,256,0,317,2024-08-03,256,1.24
MII172011,Avellino,Casa circondariale - Antimo Graziano Bellizzi,503,0,622,2024-08-03,503,1.24
MII181392,Teramo,Casa circondariale,255,0,387,2024-08-03,255,1.52
MII177332,Latina,Casa circondariale,77,0,116,2024-08-03,77,1.51
MII181918,Vicenza,Casa circondariale - Filippo Del Papa,276,32,354,2024-08-03,244,1.45
MII178085,Massa,Casa di reclusione,174,6,224,2024-08-03,168,1.33
MII178115,Massa Marittima,Casa circondariale,48,5,48,2024-08-03,43,1.12
MII177420,Lecce,Casa circondariale - Nuovo Complesso,798,57,1178,2024-08-03,741,1.59
MII179830,Pescara,Casa circondariale,276,1,431,2024-08-03,275,1.57
MII179945,Pozzuoli,Casa circondariale femminile,98,98,0,2024-08-03,0,
MII177346,Laureana di Borrello,Casa di reclusione - Luigi Daga,37,0,50,2024-08-03,37,1.35
MII181440,Trani femminile,Casa di reclusione,32,0,40,2024-08-03,32,1.25
MII159314,Augusta,Casa di reclusione,364,22,564,2024-08-03,342,1.65
MII173006,Caltagirone,Casa circondariale,541,164,407,2024-08-03,377,1.08
MII173259,Castelvetrano,Casa circondariale,44,0,68,2024-08-03,44,1.55
MII173285,Catania Bicocca,Casa circondariale,136,0,203,2024-08-03,136,1.49
MII173301,Catania Piazza Lanza,Casa circondariale,279,1,406,2024-08-03,278,1.46
MII173813,Enna,Casa circondariale - Luigi Bodenza,167,5,213,2024-08-03,162,1.31
