name_toclean,name_match,count
asti  casa di reclusione,asti casa di reclusione,4
biella  casa circondariale,biella casa circondariale,3
"alba ""g. montalto"" casa di reclusione",alba casa di reclusione,4
cuneo  casa circondariale,cuneo casa circondariale,3
fossano  casa di reclusione,fossano casa di reclusione,4
"saluzzo ""r. morandi"" casa di reclusione",saluzzo casa di reclusione,4
novara  casa circondariale,novara casa circondariale,3
ivrea  casa circondariale,ivrea casa circondariale,3
"torino ""g. lorusso - l. cutugno"" le vallette casa circondariale",torino casa circondariale,3
verbania  casa circondariale,verbania casa circondariale,3
vercelli  casa circondariale,vercelli casa circondariale,3
altamura  casa di reclusione,altamura casa di reclusione,4
"bari ""f. rucci"" casa circondariale",bari casa circondariale,3
turi  casa di reclusione,turi casa di reclusione,4
brindisi  casa circondariale,brindisi casa circondariale,3
trani  casa circondariale,trani casa circondariale,3
trani  casa di reclusione femminile,trani femminile casa di reclusione,5
foggia  casa circondariale,foggia casa circondariale,3
lucera  casa circondariale,lucera casa circondariale,3
san severo  casa circondariale,san severo casa circondariale,4
"lecce ""n.c."" casa circondariale",lecce casa circondariale,3
taranto  casa circondariale,taranto casa circondariale,3
"arbus ""is arenas"" casa di reclusione",arbus casa di reclusione,4
"cagliari ""e.scalas"" casa circondariale",cagliari uta casa circondariale,3
isili  casa di reclusione,isili casa di reclusione,4
"lanusei ""san daniele"" casa circondariale",san severo casa circondariale,3
nuoro  casa circondariale,nuoro casa circondariale,3
"onani ""mamone"" casa di reclusione",brescia verziano casa di reclusione,3
"oristano ""s. soro"" casa di reclusione",oristano casa di reclusione,4
"alghero ""g. tomasiello"" casa di reclusione",alghero casa di reclusione,4
"sassari ""g. bacchiddu"" casa circondariale",sassari casa circondariale,3
"tempio pausania ""p. pittalis"" casa di reclusione",tempio pausania casa di reclusione,5
"agrigento ""p. di lorenzo"" casa circondariale",agrigento casa circondariale,3
sciacca  casa circondariale,sciacca casa circondariale,3
caltanissetta  casa circondariale,caltanissetta casa circondariale,3
gela  casa circondariale,gela casa circondariale,3
